Periode,ID_Cabang,Wilayah,Nama_Cabang,No_Rekening,Nama_Nasabah,Sisa_Outstanding,Kolektibilitas
2024-01-31,CBG001,Jakarta,Cabang Sudirman,2895788734,Amelia Prasasta,228287729,3
2024-01-31,CBG001,Jakarta,Cabang Sudirman,7963830486,"R. Kani Napitupulu, S.T.",372422458,3
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,3821582028,Jarwi Rahimah,345947240,3
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,4648366137,Limar Maryadi,492346545,2
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,9104490493,Genta Prasasta,224737543,5
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,9750607151,"R. Hamima Andriani, S.E.",211393737,1
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,9920984898,Lasmono Santoso,349180634,3
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,6475554113,"R.A. Vanya Wacana, S.E.",453690202,1
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,6300447255,Darman Sihombing,411960096,2
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,4464689418,Mahmud Maryadi,256214212,1
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,1107416447,"Jaga Iswahyudi, S.Gz",300024975,4
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,8129341249,Eka Damanik,490565593,1
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,36218390,"Drs. Rosman Napitupulu, S.Sos",478649561,4
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,5917907641,"Zulfa Hariyah, S.I.Kom",443697476,1
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,6175563166,Devi Suryatmi,431550155,2
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,1429428492,Kayla Rahimah,166557909,3
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,4738162976,Tami Nashiruddin,126978714,3
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,5268679503,Ana Hasanah,287915087,1
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,7313121156,Rika Zulkarnain,274460368,1
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,7301023971,"Oliva Rajata, S.H.",139622990,4
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,897530472,Gandi Uyainah,337513221,1
2024-01-31,CBG002,Bandung,Cabang Asia Afrika,4246365931,Najwa Waluyo,293421676,2
2024-01-31,CBG003,Surabaya,Cabang Darmo,2946397468,Puji Prabowo,228120600,5
2024-01-31,CBG003,Surabaya,Cabang Darmo,3496144993,R. Raina Nasyiah,499038644,4
2024-01-31,CBG003,Surabaya,Cabang Darmo,766429643,Vinsen Yulianti,272289614,3
2024-01-31,CBG003,Surabaya,Cabang Darmo,774833667,Unjani Budiyanto,201159690,4
2024-01-31,CBG003,Surabaya,Cabang Darmo,361857304,"T. Harjasa Prabowo, S.Ked",497332625,4
2024-01-31,CBG003,Surabaya,Cabang Darmo,1301486368,"Alika Mulyani, S.T.",212650243,4
2024-01-31,CBG003,Surabaya,Cabang Darmo,9942007378,Jessica Hidayat,192655314,4
2024-01-31,CBG003,Surabaya,Cabang Darmo,7939360657,Dina Wasita,366918064,5
2024-01-31,CBG003,Surabaya,Cabang Darmo,1123352058,Maya Ardianto,460156876,5
2024-01-31,CBG003,Surabaya,Cabang Darmo,3787729649,Kamila Hutagalung,371396981,2
2024-01-31,CBG003,Surabaya,Cabang Darmo,69590821,"Kurnia Purwanti, S.T.",122283311,4
2024-01-31,CBG003,Surabaya,Cabang Darmo,2075162526,"Limar Tampubolon, S.T.",120945706,2
2024-01-31,CBG003,Surabaya,Cabang Darmo,2525901227,dr. Najwa Maryati,261695922,5
2024-01-31,CBG003,Surabaya,Cabang Darmo,7263184444,Harsanto Pertiwi,193594189,5
2024-01-31,CBG003,Surabaya,Cabang Darmo,3823209417,"Lili Wahyuni, S.Psi",222700661,1
2024-01-31,CBG003,Surabaya,Cabang Darmo,2546886706,"Ir. Saadat Uyainah, S.Psi",324165983,4
2024-01-31,CBG003,Surabaya,Cabang Darmo,4066986998,Umi Wibowo,260363413,5
2024-01-31,CBG003,Surabaya,Cabang Darmo,1253559738,R.A. Eli Widiastuti,323331429,2
2024-01-31,CBG003,Surabaya,Cabang Darmo,2284700404,Dian Suryatmi,448537188,2
2024-01-31,CBG003,Surabaya,Cabang Darmo,5974595225,"Nilam Nashiruddin, S.Sos",123202916,5
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,1926958904,Hamzah Mardhiyah,288998966,5
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,6041012162,Hardana Siregar,124256493,2
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,2029391954,Panji Saputra,360752063,1
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,642964902,Laila Winarsih,126072622,4
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,4245591751,Wirda Januar,275589870,3
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,4784436322,"R. Yessi Samosir, M.M.",141605161,2
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,6904206956,Mahesa Hassanah,295675058,1
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,6123035170,Iriana Andriani,130915293,3
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,2771236022,Elisa Suartini,178100653,4
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,6507397259,"Zamira Hidayanto, S.Pd",428815422,4
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,6489431338,Agnes Budiyanto,152730443,3
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,1920330395,Cecep Natsir,158375355,5
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,7003700149,Luwes Saefullah,262484663,2
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,2484741250,Edward Maryadi,114039730,4
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,5650403672,"drg. Ghaliyati Marpaung, M.TI.",144687721,4
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,1749324426,Candra Rahayu,174372598,3
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,151015542,"Gandi Halimah, M.TI.",248543839,5
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,4893913945,"Ami Sihotang, S.Psi",213130582,3
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,1202312785,Soleh Tamba,192471557,1
2024-01-31,CBG004,Medan,Cabang Gatot Subroto,4022317601,Faizah Maheswara,257364900,5
2024-01-31,CBG005,Makassar,Cabang Pettarani,7114404069,Aris Iswahyudi,431543272,4
2024-01-31,CBG005,Makassar,Cabang Pettarani,1308212600,Marsito Andriani,130930687,4
2024-01-31,CBG005,Makassar,Cabang Pettarani,5802216374,"Faizah Farida, M.Farm",485333108,3
2024-01-31,CBG005,Makassar,Cabang Pettarani,5422923981,Oliva Januar,284208160,5
2024-01-31,CBG005,Makassar,Cabang Pettarani,3537057123,"T. Cagak Sihombing, S.H.",245771542,2
2024-01-31,CBG005,Makassar,Cabang Pettarani,8705650549,Wasis Maryadi,144437381,1
2024-01-31,CBG005,Makassar,Cabang Pettarani,6782691361,H. Luthfi Suryatmi,436317781,3
2024-01-31,CBG005,Makassar,Cabang Pettarani,9819886317,Tina Ramadan,349276381,3
2024-01-31,CBG005,Makassar,Cabang Pettarani,8354087995,Raihan Nuraini,397268545,1
2024-01-31,CBG005,Makassar,Cabang Pettarani,1492617123,Carla Hasanah,344805445,5
2024-01-31,CBG005,Makassar,Cabang Pettarani,7363753071,Wisnu Kusmawati,324581119,5
2024-01-31,CBG005,Makassar,Cabang Pettarani,7891084865,Maya Prasetyo,190138177,1
2024-01-31,CBG005,Makassar,Cabang Pettarani,3520173223,Chelsea Hasanah,356778989,5
2024-01-31,CBG005,Makassar,Cabang Pettarani,7084872703,"R. Dinda Samosir, M.Farm",473977274,3
2024-01-31,CBG005,Makassar,Cabang Pettarani,1284701731,Yulia Rahayu,488192697,5
2024-01-31,CBG005,Makassar,Cabang Pettarani,9594761021,Cager Wijaya,237623309,1
2024-01-31,CBG005,Makassar,Cabang Pettarani,1861689133,Rafid Hastuti,202830056,3
2024-01-31,CBG005,Makassar,Cabang Pettarani,4554657593,Kasiyah Megantara,456484317,4
2024-01-31,CBG005,Makassar,Cabang Pettarani,8051810851,"Padma Saptono, M.M.",256577001,2
2024-01-31,CBG005,Makassar,Cabang Pettarani,6417101050,Simon Kurniawan,483403790,1
2024-01-31,CBG006,Semarang,Cabang Pandanaran,6256933225,"Adika Hutasoit, S.Pt",132389715,4
2024-01-31,CBG006,Semarang,Cabang Pandanaran,7698907183,Elma Lailasari,425783388,4
2024-01-31,CBG006,Semarang,Cabang Pandanaran,4614161826,"Ir. Diana Sitompul, S.Pt",305752125,3
2024-01-31,CBG006,Semarang,Cabang Pandanaran,9328050,Tgk. Qori Sitompul,368902195,2
2024-01-31,CBG006,Semarang,Cabang Pandanaran,7106963191,dr. Wulan Mayasari,109078103,3
2024-01-31,CBG006,Semarang,Cabang Pandanaran,5263039933,Gantar Nasyidah,193739861,2
2024-01-31,CBG006,Semarang,Cabang Pandanaran,7965055628,Daliman Latupono,344669979,2
2024-01-31,CBG006,Semarang,Cabang Pandanaran,3842686779,dr. Bahuwarna Saefullah,494059209,4
2024-01-31,CBG006,Semarang,Cabang Pandanaran,5388364565,"Hj. Salsabila Nababan, S.E.",173129631,1
2024-01-31,CBG006,Semarang,Cabang Pandanaran,9063226429,Nova Situmorang,399592186,1
2024-01-31,CBG006,Semarang,Cabang Pandanaran,7159729450,Prabu Natsir,471145607,3
2024-01-31,CBG006,Semarang,Cabang Pandanaran,3267702702,"Elvin Andriani, M.Kom.",142180113,4
2024-01-31,CBG006,Semarang,Cabang Pandanaran,8825771972,"R.M. Wardaya Puspita, S.Pt",104084154,5
2024-01-31,CBG006,Semarang,Cabang Pandanaran,5968839,Drs. Jaga Mahendra,231344863,4
2024-01-31,CBG006,Semarang,Cabang Pandanaran,2206213203,Sutan Jayadi Maulana,447899358,2
2024-01-31,CBG006,Semarang,Cabang Pandanaran,2249516523,Bagus Maryadi,211393312,5
2024-01-31,CBG006,Semarang,Cabang Pandanaran,6257358319,"Ratih Prasetya, S.Farm",288833809,3
2024-01-31,CBG006,Semarang,Cabang Pandanaran,56750016,Ajeng Purnawati,135332466,1
2024-01-31,CBG006,Semarang,Cabang Pandanaran,5308730957,Lasmanto Iswahyudi,320802721,1
2024-01-31,CBG006,Semarang,Cabang Pandanaran,2423783130,"KH. Jagapati Pudjiastuti, M.TI.",271858320,5
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,7635882448,"Luhung Narpati, S.E.",239788945,3
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,8661265648,H. Nasrullah Mahendra,247548771,5
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,1956328946,Sakura Maryadi,228319512,2
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,9133848503,Kalim Usada,451229095,3
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,9862690331,Kamila Hastuti,462251656,1
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,4227651886,"Rahman Wijayanti, S.Gz",477859697,1
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,9012065592,Bakda Mayasari,354326727,3
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,3486176385,Putri Maulana,167614256,3
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,1226980224,Tgk. Wakiman Suryono,495706390,3
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,3119648242,drg. Rika Puspita,188335490,4
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,776574964,"Prabu Namaga, M.Ak",314156222,5
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,5223248132,"Mustofa Narpati, S.Ked",142417815,5
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,7077803647,Amelia Zulaika,446294014,2
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,5027529426,Aris Kusmawati,110256379,5
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,2234498873,"Damu Hartati, S.E.",140534458,3
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,8825416897,Omar Maulana,379129096,2
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,8801075143,dr. Harsanto Napitupulu,143164235,2
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,18411371,Vanesa Waskita,430357272,2
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,5205068011,"Ir. Ilsa Hartati, M.Pd",201866962,2
2024-01-31,CBG007,Yogyakarta,Cabang Malioboro,910842412,Daniswara Pranowo,490554265,5
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,5131269664,Lidya Rahimah,414998830,3
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,4519552370,"Wisnu Rahmawati, M.Ak",333058211,1
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,5647774086,Slamet Hidayat,420734595,3
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,3422119595,Ulva Latupono,463566412,2
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,3625727238,Paris Purwanti,446366414,3
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,6371862793,Surya Maryati,148136693,4
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,9159730849,"Jane Nugroho, S.Pd",333595002,4
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,6581682518,Timbul Hakim,190588528,4
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,832267093,Baktiono Lazuardi,402535256,3
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,9359327993,Silvia Widiastuti,167864978,4
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,2940421168,Bakiadi Nashiruddin,486089782,4
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,18077502,Dt. Mahdi Purnawati,326187600,5
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,2265726417,Kartika Pertiwi,176567243,2
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,8551544018,Sakti Putra,161439557,4
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,1629314175,"Siska Budiman, S.Psi",468208305,3
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,8541448853,"R.A. Farhunnisa Sihombing, S.Pd",338291237,1
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,5927803541,Citra Suwarno,388522714,1
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,2770255091,R. Baktiadi Saragih,179536486,5
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,1807426745,Niyaga Saragih,336327406,2
2024-01-31,CBG008,Denpasar,Cabang Teuku Umar,2510204688,"Ir. Mursinin Salahudin, S.Pd",457004002,4
2024-01-31,CBG009,Palembang,Cabang Sudirman,4345774971,Kasusra Yulianti,477564940,5
2024-01-31,CBG009,Palembang,Cabang Sudirman,6170923322,Clara Astuti,476722947,1
2024-01-31,CBG009,Palembang,Cabang Sudirman,4304631982,Aditya Utama,349493038,2
2024-01-31,CBG009,Palembang,Cabang Sudirman,8317370391,Banawi Wibowo,181654185,2
2024-01-31,CBG009,Palembang,Cabang Sudirman,7808822446,Asmadi Yolanda,436944174,4
2024-01-31,CBG009,Palembang,Cabang Sudirman,5515701049,"Tgk. Tari Mustofa, S.H.",260214358,1
2024-01-31,CBG009,Palembang,Cabang Sudirman,8893616222,"Luhung Simbolon, S.I.Kom",495584014,2
2024-01-31,CBG009,Palembang,Cabang Sudirman,1322066634,"Hari Sirait, M.TI.",356452448,5
2024-01-31,CBG009,Palembang,Cabang Sudirman,9040225183,Digdaya Hasanah,120685646,2
2024-01-31,CBG009,Palembang,Cabang Sudirman,7250373342,Kardi Pranowo,414767832,4
2024-01-31,CBG009,Palembang,Cabang Sudirman,2109605222,Rini Halimah,223983249,3
2024-01-31,CBG009,Palembang,Cabang Sudirman,6977481409,R.M. Sidiq Habibi,295971049,1
2024-01-31,CBG009,Palembang,Cabang Sudirman,1264330548,Edward Wijayanti,197595635,2
2024-01-31,CBG009,Palembang,Cabang Sudirman,5981091491,Rizki Waluyo,167077653,4
2024-01-31,CBG009,Palembang,Cabang Sudirman,7968988145,"drg. Okta Winarsih, M.Farm",160830789,4
2024-01-31,CBG009,Palembang,Cabang Sudirman,3772809843,Gina Rahmawati,131243370,1
2024-01-31,CBG009,Palembang,Cabang Sudirman,6786489256,Olivia Hardiansyah,230751008,3
2024-01-31,CBG009,Palembang,Cabang Sudirman,6132294228,Zulaikha Tarihoran,407573920,2
2024-01-31,CBG009,Palembang,Cabang Sudirman,9964603867,Padma Lestari,225294865,4
2024-01-31,CBG009,Palembang,Cabang Sudirman,4011048700,Aurora Susanti,219214318,5
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,8365739033,"Cut Yunita Simanjuntak, S.E.",247621415,3
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,332902331,Zaenab Susanti,304751832,5
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,4850519099,"KH. Cecep Nainggolan, S.Farm",211265662,2
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,3350848717,Jessica Fujiati,441325318,5
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,3858584526,"Ir. Shania Ramadan, S.Psi",272045395,5
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,7640244988,Lurhur Samosir,142347571,4
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,1217145649,Lulut Wahyuni,457528465,1
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,3729419650,"Sakura Hastuti, S.Farm",281575853,3
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,9413750779,Lili Irawan,349272434,5
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,1242358158,"Bagas Utama, M.Farm",290133475,5
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,5384191676,Galuh Anggriawan,257604476,2
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,5966610749,Karya Hidayat,445655728,1
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,1960419860,Manah Nashiruddin,275350071,1
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,4081061625,"Galang Pudjiastuti, M.Pd",453702472,2
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,139861259,Restu Saputra,351636321,2
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,7113623303,"Kamidin Hutasoit, S.Gz",341120445,3
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,2711828903,"Ciaobella Nurdiyanti, M.Kom.",164618351,4
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,2664800062,Rika Hidayanto,460362890,4
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,2697399869,Daniswara Puspita,179240755,1
2024-01-31,CBG010,Balikpapan,Cabang MT Haryono,7788821938,"Kadir Yuliarti, M.Kom.",462800416,3
2024-02-29,CBG001,Jakarta,Cabang Sudirman,3699795690,Paulin Saptono,374309576,2
2024-02-29,CBG001,Jakarta,Cabang Sudirman,9754623,Sabar Agustina,205012533,1
2024-02-29,CBG001,Jakarta,Cabang Sudirman,9780654084,"H. Luhung Wibowo, S.E.",329004387,4
2024-02-29,CBG001,Jakarta,Cabang Sudirman,8050076917,Patricia Padmasari,261312180,2
2024-02-29,CBG001,Jakarta,Cabang Sudirman,8271760409,Sutan Rafid Hakim,457967479,1
2024-02-29,CBG001,Jakarta,Cabang Sudirman,1174703085,Asirwanda Suryono,250898223,3
2024-02-29,CBG001,Jakarta,Cabang Sudirman,6876382722,"R.M. Panca Nashiruddin, M.Kom.",241037775,2
2024-02-29,CBG001,Jakarta,Cabang Sudirman,8458758944,"Ilsa Nugroho, S.H.",107774903,2
2024-02-29,CBG001,Jakarta,Cabang Sudirman,2498688994,"drg. Jindra Irawan, M.Pd",313907671,3
2024-02-29,CBG001,Jakarta,Cabang Sudirman,96292576,Puti Ellis Haryanto,383651180,1
2024-02-29,CBG001,Jakarta,Cabang Sudirman,9972216302,Nasab Siregar,159881522,4
2024-02-29,CBG001,Jakarta,Cabang Sudirman,3903705391,Farhunnisa Anggraini,232191931,3
2024-02-29,CBG001,Jakarta,Cabang Sudirman,7645336098,Tgk. Febi Hasanah,332806766,1
2024-02-29,CBG001,Jakarta,Cabang Sudirman,8483008958,Emil Hassanah,405617163,2
2024-02-29,CBG001,Jakarta,Cabang Sudirman,3209028513,Daliman Putra,196434788,5
2024-02-29,CBG001,Jakarta,Cabang Sudirman,984580107,"Perkasa Jailani, M.M.",211202413,1
2024-02-29,CBG001,Jakarta,Cabang Sudirman,1839257922,Talia Susanti,297938073,2
2024-02-29,CBG001,Jakarta,Cabang Sudirman,1145773191,Salman Siregar,394498287,5
2024-02-29,CBG001,Jakarta,Cabang Sudirman,9784550707,Niyaga Mansur,484152461,2
2024-02-29,CBG001,Jakarta,Cabang Sudirman,6425646179,R. Jaeman Iswahyudi,400415726,5
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,5655754119,Cemani Firmansyah,254521892,3
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,7567211982,Iriana Nasyiah,393994121,4
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,8625311313,Siti Tamba,143445876,5
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,4566096995,"H. Bagas Hutapea, S.E.I",315853767,5
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,1627494243,Gantar Hutapea,377259298,2
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,8816518055,"Jati Haryanti, M.TI.",187027171,5
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,7222761693,Safina Anggriawan,143625037,2
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,8816149039,Darimin Usamah,172187773,4
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,3978296908,Rafid Purnawati,418572439,2
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,4852512034,Zaenab Rahmawati,117326781,2
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,1937780252,Mutia Usamah,173265053,4
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,7437494612,"T. Prasetyo Prasetyo, S.Psi",449169578,2
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,5572591461,"dr. Ana Wibowo, M.Kom.",112288229,1
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,2413956846,"KH. Usman Wijaya, M.Farm",171298885,2
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,3979307241,Yani Novitasari,483749911,1
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,6097642791,"Martana Rahimah, S.Gz",484799098,4
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,391752310,Patricia Dongoran,204508022,2
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,2238718785,Fitriani Lestari,208799466,5
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,7725821307,"Hj. Ida Prasetya, S.E.I",392686242,4
2024-02-29,CBG002,Bandung,Cabang Asia Afrika,5057439620,T. Ismail Pradana,179082219,1
2024-02-29,CBG003,Surabaya,Cabang Darmo,2304103872,Prayitna Manullang,453558570,4
2024-02-29,CBG003,Surabaya,Cabang Darmo,3741442875,Ir. Dwi Suartini,177060842,5
2024-02-29,CBG003,Surabaya,Cabang Darmo,5694876266,"Dr. Jarwa Mahendra, M.Farm",160819836,1
2024-02-29,CBG003,Surabaya,Cabang Darmo,7867237493,Hj. Eva Farida,389683065,1
2024-02-29,CBG003,Surabaya,Cabang Darmo,6702396943,"Dr. Maras Mayasari, S.H.",179669664,1
2024-02-29,CBG003,Surabaya,Cabang Darmo,3133539728,"Jane Hidayat, S.Gz",473709552,3
2024-02-29,CBG003,Surabaya,Cabang Darmo,5465130250,Nrima Simbolon,276923833,5
2024-02-29,CBG003,Surabaya,Cabang Darmo,5331970692,Cawisono Mandala,348365228,5
2024-02-29,CBG003,Surabaya,Cabang Darmo,1101766694,"R.M. Teddy Siregar, S.Kom",275927257,4
2024-02-29,CBG003,Surabaya,Cabang Darmo,7961049000,Makuta Riyanti,313867928,2
2024-02-29,CBG003,Surabaya,Cabang Darmo,2028700833,Diah Novitasari,156616720,4
2024-02-29,CBG003,Surabaya,Cabang Darmo,8676441917,Maryadi Laksmiwati,204704732,4
2024-02-29,CBG003,Surabaya,Cabang Darmo,5034573846,"Bagiya Haryanti, M.TI.",228812572,1
2024-02-29,CBG003,Surabaya,Cabang Darmo,2388543160,"Dr. Lintang Namaga, M.TI.",391238973,1
2024-02-29,CBG003,Surabaya,Cabang Darmo,5868470973,Mujur Agustina,176905739,5
2024-02-29,CBG003,Surabaya,Cabang Darmo,2086785524,Ikin Saputra,167666143,4
2024-02-29,CBG003,Surabaya,Cabang Darmo,2371179307,Dono Sudiati,354556047,3
2024-02-29,CBG003,Surabaya,Cabang Darmo,336444310,Irsad Habibi,345007575,2
2024-02-29,CBG003,Surabaya,Cabang Darmo,2931805550,Bagya Siregar,424559557,5
2024-02-29,CBG003,Surabaya,Cabang Darmo,4989216585,Intan Pranowo,124690259,1
2024-02-29,CBG004,Medan,Cabang Gatot Subroto,3173680119,Jessica Iswahyudi,147318376,2
2024-02-29,CBG004,Medan,Cabang Gatot Subroto,7911824789,"Laksana Marpaung, M.M.",442502664,4
2024-02-29,CBG004,Medan,Cabang Gatot Subroto,726008018,Uli Adriansyah,300110337,4
2024-02-29,CBG004,Medan,Cabang Gatot Subroto,4770932230,Dadi Simanjuntak,401582160,3
2024-02-29,CBG004,Medan,Cabang Gatot Subroto,7941499406,Hasan Rahimah,192944063,2
2024-02-29,CBG004,Medan,Cabang Gatot Subroto,2017663729,Setya Andriani,219487602,2
